Question,Answer,Category
Berapa biaya paspor elektronik 10 tahun?,Biaya Paspor Elektronik (e-Paspor) dengan masa berlaku 10 tahun adalah Rp 950.000.,Biaya
Berapa biaya paspor elektronik 5 tahun?,Biaya Paspor Elektronik (e-Paspor) dengan masa berlaku 5 tahun adalah Rp 650.000.,Biaya
Berapa biaya paspor biasa 10 tahun?,Biaya Paspor Biasa (Non-Elektronik) dengan masa berlaku 10 tahun adalah Rp 650.000.,Biaya
Berapa biaya paspor biasa 5 tahun?,Biaya Paspor Biasa (Non-Elektronik) dengan masa berlaku 5 tahun adalah Rp 350.000.,Biaya
Berapa biaya layanan percepatan paspor?,Biaya layanan percepatan paspor (selesai di hari yang sama) adalah Rp 1.000.000. Biaya ini belum termasuk biaya buku paspor.,Biaya
Berapa denda paspor hilang?,Denda administratif untuk paspor hilang adalah Rp 1.000.000 per buku.,Biaya
Berapa denda paspor rusak?,Denda administratif untuk paspor rusak adalah Rp 500.000 per buku.,Biaya
Apa syarat buat paspor terbaru?,Persyaratan wajib adalah e-KTP asli, Kartu Keluarga (KK) asli, serta Dokumen Pendukung asli (pilih salah satu: Akta Lahir, Buku Nikah, Ijazah, atau Akta Perkawinan).,Syarat
Bagaimana cara daftar M-Paspor?,1. Unduh aplikasi M-Paspor di PlayStore/AppStore. 2. Daftar akun dan aktivasi email. 3. Pilih permohonan paspor. 4. Unggah foto dokumen asli. 5. Pilih lokasi Kantor Imigrasi & Jadwal. 6. Bayar biaya melalui Bank/ATM/Marketplace.,Prosedur
Daftar paspor online dimana?,Pendaftaran paspor online wajib dilakukan melalui aplikasi resmi M-Paspor yang dapat diunduh di smartphone Anda.,Prosedur
Berapa lama paspor selesai?,Paspor biasanya selesai dalam 3-4 hari kerja setelah proses wawancara dan pembayaran. Untuk layanan percepatan bisa selesai di hari yang sama.,Prosedur
