Keyword,Question (Proposed),Answer (Proposed),Source/Reason
M-Paspor,"Bagaimana jika aplikasi M-Paspor error atau tidak bisa dibuka?","Jika aplikasi M-Paspor bermasalah, pastikan koneksi internet stabil atau coba hapus cache aplikasi. Jika masih error, Anda dapat melaporkan kendala melalui layanan pengaduan di @ditjen_imigrasi atau datang ke Helpdesk kantor imigrasi terdekat.","Tren Search: Masalah teknis M-Paspor"
E-Paspor vs Paspor Biasa,"Apa bedanya e-paspor dengan paspor biasa?","E-Paspor memiliki chip elektronik yang menyimpan data biometrik, lebih aman dari pemalsuan, dan memberikan kemudahan bebas visa (Visa Waiver) ke negara tertentu seperti Jepang. Paspor biasa tidak memiliki chip tersebut.","Tren Search: Perbedaan jenis paspor"
Paspor Sehari Jadi,"Berapa total biaya paspor elektronik sehari jadi?","Total biaya adalah Rp 1.650.000 (Rp 650.000 biaya e-paspor + Rp 1.000.000 biaya percepatan). Pembayaran dilakukan paling lambat jam 10 pagi.","Tren Search: Biaya percepatan e-paspor"
E-KTP Luar Kota,"Dapatkah saya buat paspor dengan e-KTP alamat luar kota?","Bisa. Seluruh Kantor Imigrasi di Indonesia sudah terintegrasi secara nasional. Anda cukup membawa e-KTP asli dan dokumen persyaratan lainnya ke kantor imigrasi terdekat.","Tren Search: Buat paspor domisili bebas"
Paspor Anak,"Apa saja syarat tambahan buat paspor anak di bawah umur?","Syarat tambahan untuk anak: 1. e-KTP asli kedua orang tua. 2. Kartu Keluarga. 3. Akta Lahir anak. 4. Buku Nikah orang tua. 5. Kehadiran anak dan kedua orang tua saat wawancara.","Tren Search: Syarat paspor anak"
Ambil Paspor,"Apakah pengambilan paspor bisa diwakilkan?","Bisa diwakilkan oleh keluarga dalam satu Kartu Keluarga (membawa bukti pembayaran & KK asli) atau oleh orang lain dengan Surat Kuasa bermeterai Rp 10.000 disertai KTP asli pemberi & penerima kuasa.","Tren Search: Ambil paspor perwakilan"
Salah Input Data,"Bagaimana jika saya salah input nama atau tanggal lahir di M-Paspor?","Informasikan kesalahan tersebut kepada petugas saat tahap wawancara di kantor imigrasi agar data dapat dikoreksi oleh petugas secara sistem sebelum proses cetak.","Tren Search: Salah data M-Paspor"
Denda Hilang,"Kenapa bayar denda paspor hilang mahal sekali?","Biaya denda Rp 1.000.000 adalah Penerimaan Negara Bukan Pajak (PNBP) resmi sesuai Peraturan Pemerintah No. 28 Tahun 2019 sebagai bentuk sanksi administratif atas kelalaian menjaga dokumen negara.","Tren Search: Keluhan denda paspor"
Paspor Kadaluarsa,"Kapan waktu terbaik untuk memperpanjang paspor yang akan habis?","Disarankan untuk memperpanjang paspor minimal 6 bulan sebelum masa berlaku habis, karena banyak negara mensyaratkan masa berlaku paspor minimal 6 bulan untuk izin masuk.","Tren Search: Masa berlaku paspor"
Pengambilan online,"Bisakah paspor yang sudah jadi dikirim melalui pos atau kurir?","Beberapa kantor imigrasi bekerja sama dengan PT Pos Indonesia untuk layanan pengiriman paspor ke alamat rumah. Silakan tanyakan ketersediaan layanan ini di loket setelah tahap wawancara.","Tren Search: Kirim paspor lewat pos"
